//### ROAD Connections ###

//ATHENS
ATHENS, VALONA, ROAD
HAMBURG, BERLIN, ROAD
HAMBURG, LEIPZIG, ROAD

//AMSTERDAM
AMSTERDAM, COLOGNE, ROAD
AMSTERDAM, BRUSSELS, ROAD

//BRUSSELS
BRUSSELS, AMSTERDAM, ROAD
BRUSSELS, COLOGNE, ROAD
BRUSSELS, STRASBOURG, ROAD
BRUSSELS, PARIS, ROAD
BRUSSELS, LE_HAVRE, ROAD

//GENEVA
GENEVA, ZURICH, ROAD
GENEVA, STRASBOURG, ROAD
GENEVA, PARIS, ROAD
GENEVA, CLERMONT_FERRAND, ROAD
GENEVA, MARSEILLES, ROAD

//MARSEILLES
MARSEILLES, GENEVA, ROAD
MARSEILLES, ZURICH, ROAD
MARSEILLES, MILAN, ROAD
MARSEILLES, GENOA, ROAD
MARSEILLES, CLERMONT_FERRAND, ROAD
MARSEILLES, TOULOUSE, ROAD

//CLERMONT_FERRAND
CLERMONT_FERRAND, MARSEILLES, ROAD
CLERMONT_FERRAND, GENEVA, ROAD
CLERMONT_FERRAND, TOULOUSE, ROAD
CLERMONT_FERRAND, PARIS, ROAD
CLERMONT_FERRAND, BORDEAUX, ROAD
CLERMONT_FERRAND, NANTES, ROAD

//PARIS
PARIS, STRASBOURG, ROAD
PARIS, GENEVA, ROAD
PARIS, BRUSSELS, ROAD
PARIS, LE_HAVRE, ROAD
PARIS, NANTES, ROAD
PARIS, CLERMONT_FERRAND, ROAD

//LE_HAVRE
LE_HAVRE, PARIS, ROAD
LE_HAVRE, BRUSSELS, ROAD
LE_HAVRE, NANTES, ROAD

//NANTES
NANTES, LE_HAVRE, ROAD
NANTES, PARIS, ROAD
NANTES, BORDEAUX, ROAD
NANTES, CLERMONT_FERRAND, ROAD

//BORDEAUX
BORDEAUX, NANTES, ROAD
BORDEAUX, CLERMONT_FERRAND, ROAD
BORDEAUX, TOULOUSE, ROAD
BORDEAUX, SARAGOSSA, ROAD

//TOULOUSE
TOULOUSE, BORDEAUX, ROAD
TOULOUSE, CLERMONT_FERRAND, ROAD
TOULOUSE, MARSEILLES, ROAD
TOULOUSE, BARCELONA, ROAD
TOULOUSE, SARAGOSSA, ROAD

//SARAGOSSA
SARAGOSSA, TOULOUSE, ROAD
SARAGOSSA, BARCELONA, ROAD
SARAGOSSA, BORDEAUX, ROAD
SARAGOSSA, ALICANTE, ROAD
SARAGOSSA, MADRID, ROAD
SARAGOSSA, SANTANDER, ROAD

//BARCELONA
BARCELONA, SARAGOSSA, ROAD
BARCELONA, TOULOUSE, ROAD

//ALICANTE
ALICANTE, SARAGOSSA, ROAD
ALICANTE, GRANADA, ROAD
ALICANTE, MADRID, ROAD

//GRANADA
GRANADA, ALICANTE, ROAD
GRANADA, MADRID, ROAD
GRANADA, CADIZ, ROAD

//CADIZ
CADIZ, GRANADA, ROAD
CADIZ, MADRID, ROAD
CADIZ, LISBON, ROAD

//LISBON
LISBON, CADIZ, ROAD
LISBON, MADRID, ROAD
LISBON, SANTANDER, ROAD

//MADRID
MADRID, LISBON, ROAD
MADRID, CADIZ, ROAD
MADRID, GRANADA, ROAD
MADRID, ALICANTE, ROAD
MADRID, SANTANDER, ROAD
MADRID, SARAGOSSA, ROAD

//SANTANDER
SANTANDER, MADRID, ROAD
SANTANDER, LISBON, ROAD
SANTANDER, SARAGOSSA, ROAD

//LONDON
LONDON, PLYMOUTH, ROAD
LONDON, SWANSEA, ROAD
LONDON, MANCHESTER, ROAD

//PLYMOUTH
PLYMOUTH, LONDON, ROAD

//SWANSEA
SWANSEA, LONDON, ROAD
SWANSEA, LIVERPOOL, ROAD

//MANCHESTER
MANCHESTER, LIVERPOOL, ROAD
MANCHESTER, EDINBURGH, ROAD
MANCHESTER, LONDON, ROAD

//LIVERPOOL
LIVERPOOL, SWANSEA, ROAD
LIVERPOOL, MANCHESTER, ROAD

//DUBLIN
DUBLIN, GALWAY, ROAD

//GALWAY
GALWAY, DUBLIN, ROAD

//EDINBURGH
EDINBURGH, MANCHESTER, ROAD

//### RAIL Connections ###

//ALICANTE
ALICANTE, MADRID, RAIL
ALICANTE, BARCELONA, RAIL

//MADRID
MADRID, ALICANTE, RAIL
MADRID, LISBON, RAIL
MADRID, SANTANDER, RAIL
MADRID, SARAGOSSA, RAIL

//BARCELONA
BARCELONA, ALICANTE, RAIL
BARCELONA, SARAGOSSA, RAIL

//LISBON
LISBON, MADRID, RAIL


//SANTANDER
SANTANDER, MADRID, RAIL

//SARAGOSSA
SARAGOSSA, MADRID, RAIL
SARAGOSSA, BARCELONA, RAIL
SARAGOSSA, BORDEAUX, RAIL

//BORDEAUX
BORDEAUX, SARAGOSSA, RAIL
BORDEAUX, PARIS, RAIL

//LE_HAVRE
LE_HAVRE, PARIS, RAIL

//MARSEILLES
MARSEILLES, PARIS, RAIL

//PARIS
PARIS, BORDEAUX, RAIL
PARIS, MARSEILLES, RAIL
PARIS, LE_HAVRE, RAIL
PARIS, BRUSSELS, RAIL


//BRUSSELS
BRUSSELS, COLOGNE, RAIL
BRUSSELS, PARIS, RAIL

//COLOGNE
COLOGNE, BRUSSELS, RAIL
COLOGNE, FRANKFURT, RAIL

//FRANKFURT
FRANKFURT, STRASBOURG, RAIL
FRANKFURT, LEIPZIG, RAIL
FRANKFURT, COLOGNE, RAIL

//STRASBOURG
STRASBOURG, FRANKFURT, RAIL
STRASBOURG, ZURICH, RAIL

//ZURICH
ZURICH, MILAN, RAIL
ZURICH, STRASBOURG, RAIL

//GENEVA
GENEVA, MILAN, RAIL

//GEONA
GENOA, MILAN, RAIL

//MILAN
MILAN, GENEVA, RAIL
MILAN, FLORENCE, RAIL
MILAN, ZURICH, RAIL
MILAN, GENOA, RAIL

//FLORENCE
FLORENCE, ROME, RAIL
FLORENCE, MILAN, RAIL

//ROME
ROME, FLORENCE, RAIL
ROME, NAPLES, RAIL

//NAPLES
NAPLES, ROME, RAIL
NAPLES, BARI, RAIL

//BARI
BARI, NAPLES, RAIL

//LEIPZIG
LEIPZIG, FRANKFURT, RAIL
LEIPZIG, NUREMBURG, RAIL
LEIPZIG, BERLIN, RAIL

//BERLIN
BERLIN, HAMBURG, RAIL
BERLIN, PRAGUE, RAIL
BERLIN, LEIPZIG, RAIL

//HAMBURG
HAMBURG, BERLIN, RAIL

//MUNICH
MUNICH, NUREMBURG, RAIL

//NUREMBURG
NUREMBURG, MUNICH, RAIL
NUREMBURG, LEIPZIG, RAIL

//PRAGUE
PRAGUE, BERLIN, RAIL
PRAGUE, VIENNA, RAIL

//VIENNA
VIENNA, PRAGUE, RAIL
VIENNA, VENICE, RAIL
VIENNA, BUDAPEST, RAIL

//VENICE
VENICE, VIENNA, RAIL

//BUDAPEST
BUDAPEST, VIENNA, RAIL
BUDAPEST, SZEGED, RAIL

//SZEGED
SZEGED, BUDAPEST, RAIL
SZEGED, BELGRADE, RAIL
SZEGED, BUCHAREST, RAIL

//BELGRADE
BELGRADE, SZEGED, RAIL
BELGRADE, SOFIA, RAIL


//SOFIA
SOFIA, BELGRADE, RAIL
SOFIA, SALONICA, RAIL
SOFIA, VARNA, RAIL

//SALONICA
SALONICA, SOFIA, RAIL

//VARNA
VARNA, SOFIA, RAIL

//BUCHAREST
BUCHAREST, SZEGED, RAIL
BUCHAREST, GALATZ, RAIL
BUCHAREST, CONSTANTA, RAIL

//GALATZ
GALATZ, BUCHAREST, RAIL

//CONSTANTA
CONSTANTA, BUCHAREST, RAIL

//LONDON
LONDON, SWANSEA, RAIL
LONDON, MANCHESTER, RAIL

//SWANSEA
SWANSEA, LONDON, RAIL

//MANCHESTER
MANCHESTER, LONDON, RAIL
MANCHESTER, LIVERPOOL, RAIL
MANCHESTER, EDINBURGH, RAIL

//EDINBURGH
EDINBURGH, MANCHESTER, RAIL

//LIVERPOOL
LIVERPOOL, MANCHESTER, RAIL

//### SEA Connections ###

//BLACK SEA
BLACK_SEA, IONIAN_SEA, SEA
BLACK_SEA, VARNA, SEA
BLACK_SEA, CONSTANTA, SEA

//IONIAN SEA
IONIAN_SEA, BLACK_SEA, SEA
IONIAN_SEA, VALONA, SEA
IONIAN_SEA, ATHENS, SEA
IONIAN_SEA, SALONICA, SEA
IONIAN_SEA, ADRIATIC_SEA, SEA
IONIAN_SEA, TYRRHENIAN_SEA, SEA

//ADRIATIC SEA
ADRIATIC_SEA, VENICE, SEA
ADRIATIC_SEA, BARI, SEA
ADRIATIC_SEA, IONIAN_SEA, SEA

//TYRRHENIAN SEA
TYRRHENIAN_SEA, MEDITERRANEAN_SEA, SEA
TYRRHENIAN_SEA, CAGLIARI, SEA
TYRRHENIAN_SEA, GENOA, SEA
TYRRHENIAN_SEA, ROME, SEA
TYRRHENIAN_SEA, NAPLES, SEA
TYRRHENIAN_SEA, IONIAN_SEA, SEA

//MEDITERRANEAN_SEA
MEDITERRANEAN_SEA, ATLANTIC_OCEAN, SEA
MEDITERRANEAN_SEA, TYRRHENIAN_SEA, SEA
MEDITERRANEAN_SEA, CAGLIARI, SEA
MEDITERRANEAN_SEA, MARSEILLES, SEA
MEDITERRANEAN_SEA, BARCELONA, SEA
MEDITERRANEAN_SEA, ALICANTE, SEA

//BAY_OF_BISCAY
BAY_OF_BISCAY, ATLANTIC_OCEAN, SEA
BAY_OF_BISCAY, BORDEAUX, SEA
BAY_OF_BISCAY, SANTANDER, SEA
BAY_OF_BISCAY, NANTES, SEA

//ATLANTIC_OCEAN
ATLANTIC_OCEAN, NORTH_SEA, SEA
ATLANTIC_OCEAN, BAY_OF_BISCAY, SEA
ATLANTIC_OCEAN, IRISH_SEA, SEA
ATLANTIC_OCEAN, ENGLISH_CHANNEL, SEA
ATLANTIC_OCEAN, MEDITERRANEAN_SEA, SEA
ATLANTIC_OCEAN, CADIZ, SEA
ATLANTIC_OCEAN, LISBON, SEA
ATLANTIC_OCEAN, GALWAY, SEA

//ENGLISH_CHANNEL
ENGLISH_CHANNEL, ATLANTIC_OCEAN, SEA
ENGLISH_CHANNEL, NORTH_SEA, SEA
ENGLISH_CHANNEL, LE_HAVRE, SEA
ENGLISH_CHANNEL, PLYMOUTH, SEA
ENGLISH_CHANNEL, LONDON, SEA

//IRISH_SEA
IRISH_SEA, ATLANTIC_OCEAN, SEA
IRISH_SEA, LIVERPOOL, SEA
IRISH_SEA, SWANSEA, SEA
IRISH_SEA, DUBLIN, SEA

//NORTH_SEA
NORTH_SEA, ATLANTIC_OCEAN, SEA
NORTH_SEA, ENGLISH_CHANNEL, SEA
NORTH_SEA, EDINBURGH, SEA
NORTH_SEA, AMSTERDAM, SEA
NORTH_SEA, HAMBURG, SEA

//### SEA->CITIES Connections ###

CONSTANTA, BLACK_SEA, SEA
VARNA, BLACK_SEA, SEA
SALONICA, IONIAN_SEA, SEA
ATHENS, IONIAN_SEA, SEA
VALONA, IONIAN_SEA, SEA
BARI, ADRIATIC_SEA, SEA
VENICE, ADRIATIC_SEA, SEA
NAPLES, TYRRHENIAN_SEA, SEA
ROME, TYRRHENIAN_SEA, SEA
GENOA, TYRRHENIAN_SEA, SEA
CAGLIARI, TYRRHENIAN_SEA, SEA
CAGLIARI, MEDITERRANEAN_SEA, SEA
MARSEILLES, MEDITERRANEAN_SEA, SEA
BARCELONA, MEDITERRANEAN_SEA, SEA
ALICANTE, MEDITERRANEAN_SEA, SEA
CADIZ, ATLANTIC_OCEAN, SEA
LISBON, ATLANTIC_OCEAN, SEA
GALWAY, ATLANTIC_OCEAN, SEA
SANTANDER, BAY_OF_BISCAY, SEA
BORDEAUX, BAY_OF_BISCAY, SEA
NANTES, BAY_OF_BISCAY, SEA
LONDON, ENGLISH_CHANNEL, SEA
PLYMOUTH, ENGLISH_CHANNEL, SEA
LE_HAVRE, ENGLISH_CHANNEL, SEA
SWANSEA, IRISH_SEA, SEA
LIVERPOOL, IRISH_SEA, SEA
DUBLIN, IRISH_SEA, SEA
EDINBURGH, NORTH_SEA, SEA
AMSTERDAM, NORTH_SEA, SEA
HAMBURG, NORTH_SEA, SEA
